rank,source_cv_set,source_cv_summary_csv,model_id,source_model,source_point_profile,active_surface_basis_kind,source_count,basis_count,juan_recommendation_status,juan_recommendation_reason,juan_cv_side_worst_fold_rms_db_300_1200,juan_in_sample_side_worst_norm_rms_db_300_1200,juan_in_sample_side_worst_abs_rms_db_300_1200,juan_in_sample_side_worst_phase_rms_deg_300_1200,source_offplane_case,source_offplane_z_offset_rms_db_70_90,source_offplane_z_offset_max_abs_db_70_90,source_offplane_spread_rms_db_70_90,source_offplane_spread_max_abs_db_70_90,source_offplane_spread_basis,source_offplane_spread_reference_case,source_offplane_eligible_reference_count,source_offplane_eligible_surface_max_abs_db_70_90,source_offplane_eligible_surface_max_abs_freq_hz_70_90,source_offplane_eligible_surface_max_abs_angle_deg_70_90,source_offplane_eligible_surface_low_case_70_90,source_offplane_eligible_surface_high_case_70_90,source_offplane_interpretation,stored_bem_label,stored_bem_evidence_scope,stored_bem_validation_hdf5,stored_bem_validation_driver,stored_bem_target_acceptance_status,stored_bem_target_kind,stored_bem_validation_hypothesis,stored_bem_target_published_explorer_match,stored_bem_acceptance_status,stored_bem_coverage_status,stored_bem_timing_status,stored_bem_shape_status,stored_bem_mesh_convergence_status,stored_bem_norm_rms_db_300_1200,stored_bem_through60_rms_db_300_1200,stored_bem_through80_rms_db_300_1200,stored_bem_worst_error_db_300_1200,stored_bem_worst_error_freq_hz_300_1200,stored_bem_worst_error_angle_deg_300_1200,andres_published_parity_bem_label,andres_published_parity_bem_evidence_scope,andres_published_parity_bem_validation_hdf5,andres_published_parity_bem_target_acceptance_status,andres_published_parity_bem_target_published_explorer_match,andres_published_parity_bem_acceptance_status,andres_published_parity_bem_coverage_status,andres_published_parity_bem_shape_status,andres_published_parity_bem_mesh_convergence_status,andres_published_parity_bem_source_offplane_gate_status,andres_published_parity_bem_passive_geometry_gate_status,andres_published_parity_bem_norm_rms_db_300_1200,andres_published_parity_bem_through80_rms_db_300_1200,andres_published_parity_bem_worst_error_db_300_1200,andres_published_parity_bem_worst_error_freq_hz_300_1200,andres_published_parity_bem_worst_error_angle_deg_300_1200,decision_status,decision_reason
11,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-modal-full3-az24-reg1e-06,split-profile-ring,h1659-modal-full-3,modal,726,6,rejected_weak_cv,Juan held-out side-worst normalized RMS 4.090 dB exceeds 4.000 dB.,4.0904855311997395,2.18409462940999,2.155968641386649,13.920467476644095,modal-full3,0.13500908859011906,0.2743693986029143,11.241952965188922,22.39229223624225,source_cv_recommended_juan_only,profile-ring-full-svd,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `modal-full3`; z=0 to UM-height normalized-polar change is 0.135 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full-svd`) is 11.242 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 4.090 dB exceeds 4.000 dB.
12,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-ring-compact-az24-reg1e-06-svd1e-05,split-profile-ring,h1659-acoustic-compact,modal,146,8,rejected_weak_cv,Juan held-out side-worst normalized RMS 4.092 dB exceeds 4.000 dB.,4.091601022081739,1.0925572044660374,1.0328271344407687,12.282651230759521,profile-ring-compact-svd,0.14052781570579528,0.39541597063966094,13.358958303047917,26.856013122534357,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `profile-ring-compact-svd`; z=0 to UM-height normalized-polar change is 0.141 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 13.359 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 4.092 dB exceeds 4.000 dB.
13,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,split-active-surface-compact-m4-az16-gap30-q3-reg1e-06-svd1e-05,split-active-surface-modal,h1659-acoustic-compact,modal,8,8,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 3.766 dB exceeds 3.000 dB.,4.531193744828727,3.7660813909885853,4.046282413554309,42.5701322794002,split-active-measured-m4g30,0.15056986623199123,0.2586311471979599,11.576706391477003,28.213582726549184,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `split-active-measured-m4g30`; z=0 to UM-height normalized-polar change is 0.151 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 11.577 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 3.766 dB exceeds 3.000 dB.
14,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,measured-phase-h1659-modal-full4-az24-reg1e-06-svd1e-05,split-profile-ring,h1659-modal-full-4,modal,968,8,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 5.119 dB exceeds 3.000 dB.,5.010712010410166,5.118591204425127,5.207304731894543,38.86057814438738,measured-modal-full4-svd,0.17307220946309135,0.4694293020272937,12.039619816873804,27.040827534398638,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `measured-modal-full4-svd`; z=0 to UM-height normalized-polar change is 0.173 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 12.040 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 5.119 dB exceeds 3.000 dB.
15,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,split-active-surface-compact-m4-az16-gap16-q3-reg1e-06-svd1e-05,split-active-surface-modal,h1659-acoustic-compact,modal,8,8,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 7.807 dB exceeds 3.000 dB.,5.468231913668781,7.80708846984502,7.740582124372561,54.561206434144324,split-active-dipole-m4g16-svd,0.11175674589214508,0.3138282821756704,10.515290025355249,27.64711301103226,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `split-active-dipole-m4g16-svd`; z=0 to UM-height normalized-polar change is 0.112 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 10.515 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 7.807 dB exceeds 3.000 dB.
16,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-compact-split-discrete-d45-r0_40_75-reg1e-06-svd1e-05,split-discrete,h1659-acoustic-compact,modal,14,14,rejected_weak_cv,Juan held-out side-worst normalized RMS 6.649 dB exceeds 4.000 dB.,6.649235667020322,1.386646227987682,1.3723132558843645,11.159362042371033,h1659-profile-compact-split-discrete-svd,1.2109341702057037,11.319119241655223,12.06226564698782,24.318934810853264,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `h1659-profile-compact-split-discrete-svd`; z=0 to UM-height normalized-polar change is 1.211 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 12.062 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 6.649 dB exceeds 4.000 dB.
17,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,asym-split-discrete-f45-r55-r0_35_70_95-reg1e-06-svd1e-05,split-discrete,asymmetric_depth_rings,modal,14,14,rejected_weak_cv,Juan held-out side-worst normalized RMS 6.793 dB exceeds 4.000 dB.,6.793252571234323,2.65629404694396,2.6272062551136224,15.473842382008115,asym-f45-r55-r35-svd,0.4727386826851616,0.8500930211790632,10.576981779269822,21.905276685510323,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `asym-f45-r55-r35-svd`; z=0 to UM-height normalized-polar change is 0.473 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.577 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 6.793 dB exceeds 4.000 dB.
18,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,asym-split-discrete-f45-r55-front35-rear25-reg1e-06-svd1e-05,split-discrete,asymmetric_depth_rings,modal,16,16,rejected_weak_cv,Juan held-out side-worst normalized RMS 6.815 dB exceeds 4.000 dB.,6.814654810505503,2.6386246441174777,2.6121304252683335,15.338327737679718,asym-f45-r55-front35-rear25-svd,0.8899215955121902,8.450638183655336,10.49976325718645,23.281399797394037,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `asym-f45-r55-front35-rear25-svd`; z=0 to UM-height normalized-polar change is 0.890 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.500 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 6.815 dB exceeds 4.000 dB.
19,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,d55-split-discrete-r0_25_50_75_95-reg1e-06-svd1e-05,split-discrete,symmetric-depth-rings,modal,18,18,rejected_weak_cv,Juan held-out side-worst normalized RMS 6.874 dB exceeds 4.000 dB.,6.874229771208863,2.6386246441174777,2.6121304252683335,15.338327737679718,d55-r25-95-svd,0.5676766726813498,2.4920410495143486,10.387181587616219,24.963306727099614,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `d55-r25-95-svd`; z=0 to UM-height normalized-polar change is 0.568 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.387 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 6.874 dB exceeds 4.000 dB.
20,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-full-split-discrete-d45-r0_40_75-reg1e-06-svd1e-05,split-discrete,h1659-acoustic-full,modal,22,22,rejected_weak_cv,Juan held-out side-worst normalized RMS 6.893 dB exceeds 4.000 dB.,6.89261028372341,1.3970608352575566,1.3828032167795299,11.102550821775395,h1659-profile-full-split-discrete-svd,1.3200403347748573,12.354502727445755,12.646430337430136,26.4645249236694,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `h1659-profile-full-split-discrete-svd`; z=0 to UM-height normalized-polar change is 1.320 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 12.646 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 6.893 dB exceeds 4.000 dB.
21,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,active-surface-compact-m3-az16-q3-reg1e-06-svd1e-05,active-surface-modal,h1659-acoustic-compact,modal,3,3,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 6.111 dB exceeds 3.000 dB.,7.695928651581942,6.110858458899992,5.4729403020869825,67.33020682734711,active-surface-dipole-m3,0.23183353248476757,0.5055916772943903,14.013034544074577,27.872263838116837,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `active-surface-dipole-m3`; z=0 to UM-height normalized-polar change is 0.232 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 14.013 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 6.111 dB exceeds 3.000 dB.
22,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,measured-phase-split-discrete-d45-r0_40_75-reg1e-06,split-discrete,symmetric-depth-rings,modal,10,10,rejected_weak_cv,Juan held-out side-worst normalized RMS 7.707 dB exceeds 4.000 dB.,7.707403227127374,2.862234970147041,2.6669073048844703,27.75883123683443,measured-stable,1.7349414265396628,4.212387580793909,14.486430817858638,26.49729021262106,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `measured-stable`; z=0 to UM-height normalized-polar change is 1.735 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 14.486 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 7.707 dB exceeds 4.000 dB.
23,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,measured-phase-h1659-profile-ring-compact-az24-reg1e-06,split-profile-ring,h1659-acoustic-compact,modal,146,8,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 4.595 dB exceeds 3.000 dB.,8.414833451881314,4.59509967195541,4.332562375989909,24.57179824348774,measured-profile-ring-compact,0.1967533338041637,0.5263269192404323,11.957730986050109,25.091785105531137,source_cv_recommended_juan_only,profile-ring-full-svd,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `measured-profile-ring-compact`; z=0 to UM-height normalized-polar change is 0.197 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full-svd`) is 11.958 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 4.595 dB exceeds 3.000 dB.
24,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,measured-phase-h1659-profile-ring-full-az24-reg1e-06,split-profile-ring,h1659-acoustic-full,modal,242,12,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 4.653 dB exceeds 3.000 dB.,8.557332024702612,4.652795109637316,4.383073273698403,24.630410022139017,measured-profile-ring-full,0.19548512045776859,0.501040916594711,11.934137698615253,24.915632886871713,source_cv_recommended_juan_only,profile-ring-full-svd,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `measured-profile-ring-full`; z=0 to UM-height normalized-polar change is 0.195 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full-svd`) is 11.934 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 4.653 dB exceeds 3.000 dB.
25,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,stable-split-discrete-d45-r0_40_75-reg1e-06,split-discrete,symmetric-depth-rings,modal,10,10,rejected_weak_cv,Juan held-out side-worst normalized RMS 8.622 dB exceeds 4.000 dB.,8.6219574254496,2.6417089752262717,2.597715541263958,16.308285322309622,stable,0.6159535565631995,2.7833503388403784,10.862141912831591,22.13545607778422,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `stable`; z=0 to UM-height normalized-polar change is 0.616 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.862 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 8.622 dB exceeds 4.000 dB.
26,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,current-wide-split-discrete-d45-r0_35_70_95-reg1e-06-svd1e-05,split-discrete,symmetric-depth-rings,modal,14,14,rejected_weak_cv,Juan held-out side-worst normalized RMS 8.810 dB exceeds 4.000 dB.,8.810187953561085,2.4996240766548543,2.4694379891703324,14.960913682536928,wide-svd,0.5459264027271364,2.5885345375709363,10.948963538941443,23.807835422111353,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `wide-svd`; z=0 to UM-height normalized-polar change is 0.546 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.949 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 8.810 dB exceeds 4.000 dB.
27,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,wide-split-discrete-d45-r0_35_70_95-reg1e-06,split-discrete,symmetric-depth-rings,modal,14,14,rejected_weak_cv,Juan held-out side-worst normalized RMS 8.810 dB exceeds 4.000 dB.,8.810212182470925,2.4995958805861838,2.4694070971981357,14.960163100042283,wide-svd,0.5459264027271364,2.5885345375709363,10.948963538941443,23.807835422111353,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `wide-svd`; z=0 to UM-height normalized-polar change is 0.546 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 10.949 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 8.810 dB exceeds 4.000 dB.
28,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,split-ring-d45-r0_25_50_75_95-az48-reg1e-06-svd1e-05,split-ring,symmetric-depth-rings,modal,386,10,rejected_weak_cv,Juan held-out side-worst normalized RMS 9.274 dB exceeds 4.000 dB.,9.2742085969056,2.936219347092238,2.951808628913937,17.49722465689258,split-ring-r25-95-az48-svd,0.24777126362865465,0.3661339456083219,11.54446539352139,21.04038176898542,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `split-ring-r25-95-az48-svd`; z=0 to UM-height normalized-polar change is 0.248 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 11.544 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 9.274 dB exceeds 4.000 dB.
29,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,split-ring-d45-r0_35_70_95-az24-reg1e-06,split-ring,symmetric-depth-rings,modal,146,8,rejected_weak_cv,Juan held-out side-worst normalized RMS 9.279 dB exceeds 4.000 dB.,9.279425642743409,2.944094740572186,2.9580075344487335,17.54463056530474,split-ring-r35-az24,0.24847903209543237,0.3660665833791725,11.50857661635153,21.041451256128667,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `split-ring-r35-az24`; z=0 to UM-height normalized-polar change is 0.248 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 11.509 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 9.279 dB exceeds 4.000 dB.
1,l22mg-source-cv-physical-diaphragm,docs/l22mg-source-cv-physical-diaphragm/source_cv_summary.csv,physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06-svd1e-05,active-surface-modal,h1659-acoustic-full,physical-diaphragm,4,4,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 3.119 dB exceeds 3.000 dB.,3.448421117884776,3.119237629433261,4.711699521263454,62.05277996515278,physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06-svd1e-05,0.22354064110102226,1.238728132428399,13.239272459969333,32.29902080006175,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06-svd1e-05`; z=0 to UM-height normalized-polar change is 0.224 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 13.239 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 3.119 dB exceeds 3.000 dB.
2,l22mg-source-cv-physical-diaphragm,docs/l22mg-source-cv-physical-diaphragm/source_cv_summary.csv,physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-full,physical-diaphragm,4,4,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 3.119 dB exceeds 3.000 dB.,3.448421117891497,3.1192376294411335,4.71169952127013,62.0527799650139,physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06,0.22354064111033584,1.2387281325130601,13.239272460017514,32.299020800041816,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `physical-diaphragm-full-coupled-measured-az16-q3-reg1e-06`; z=0 to UM-height normalized-polar change is 0.224 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 13.239 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 3.119 dB exceeds 3.000 dB.
3,l22mg-source-cv-physical-diaphragm,docs/l22mg-source-cv-physical-diaphragm/source_cv_summary.csv,physical-diaphragm-full-coupled-measured-m3-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-full,physical-diaphragm,3,3,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 3.758 dB exceeds 3.000 dB.,3.545162675851915,3.7577203106813264,5.261761932633841,69.51823586406968,not_applicable_rejected_source_cv,nan,nan,nan,nan,,,nan,nan,nan,nan,,,"Juan source-CV already rejects this source, so off-plane source ambiguity metrics are not required before rejecting it as an acceptance candidate.",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 3.758 dB exceeds 3.000 dB.
4,l22mg-source-cv-physical-diaphragm,docs/l22mg-source-cv-physical-diaphragm/source_cv_summary.csv,physical-diaphragm-full-coupled-measured-m3-az16-q3-reg1e-06-svd1e-05,active-surface-modal,h1659-acoustic-full,physical-diaphragm,3,3,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 3.758 dB exceeds 3.000 dB.,3.5451626758538892,3.7577203106758517,5.261761932630286,69.51823586405374,not_applicable_rejected_source_cv,nan,nan,nan,nan,,,nan,nan,nan,nan,,,"Juan source-CV already rejects this source, so off-plane source ambiguity metrics are not required before rejecting it as an acceptance candidate.",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 3.758 dB exceeds 3.000 dB.
5,l22mg-source-cv-physical-diaphragm,docs/l22mg-source-cv-physical-diaphragm/source_cv_summary.csv,physical-diaphragm-full-coupled-dipole-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-full,physical-diaphragm,4,4,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 6.521 dB exceeds 3.000 dB.,4.485679817612009,6.521423527119813,6.3474887036841,44.95687728625697,physical-diaphragm-full-coupled-dipole-az16-q3-reg1e-06,0.12613843238979827,0.35151050109509896,8.15501220026014,19.698117774330967,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `physical-diaphragm-full-coupled-dipole-az16-q3-reg1e-06`; z=0 to UM-height normalized-polar change is 0.126 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 8.155 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 6.521 dB exceeds 3.000 dB.
